id,label
--Cl3Rkbyk8_000027-002189,MRT
-3SFfi7Efp4_243528-243921,MRT
-7X7-RiJWpo_069930-070430,MRT
-Gw8rQZGvZ0_167424-167744,MRT
-MUM1to8Iso_185082-185542,MRT
-PSF6o5S9Eg_013281-013859,MRT
-QUST1WbS10_186366-189414,MRT
-dZ9qHcjFWQ_053680-054865,MRT
-zJBfV5_xnI_022479-022891,MRT
-zJBfV5_xnI_287388-287860,MRT
-zJBfV5_xnI_511596-512628,MRT
077AFQNtArA_065123-065433,MRT
077AFQNtArA_352163-352489,MRT
0CQVTRTNgkk_054840-056414,MRT
0CQVTRTNgkk_258208-259473,MRT
0CQVTRTNgkk_462909-463331,MRT
0CYsnGrO68I_224283-224655,MRT
0GolaUQqYLM_280802-282278,MRT
0Mc4gq1hbZI_205458-205776,MRT
0S9LgLDEunQ_004554-006568,MRT
0ZRzPqFkGjU_004976-006060,MRT
0ZofZZw41JY_191553-192407,MRT
0_0bWlY2-QE_159576-159902,MRT
0enkff-xygY_136146-137438,MRT
0m6H_A6pkW0_016226-016978,MRT
0xnwO1eYHvo_053771-057361,MRT
17MYKSe1k9I_347796-348380,MRT
1BPuGxXwssk_347211-351609,MRT
1GMhq9c9C-E_155316-155632,MRT
1QEAarFyRmY_179547-179869,MRT
1TwcVCdjqFw_121782-122876,MRT
1_TtP4GxJzo_063984-064826,MRT
1jo_dR_ILgg_118695-119131,MRT
1o8JzvPP3aM_027025-031529,MRT
1vxmiWdtmR4_018647-019003,MRT
20uBJ620Z-8_009079-009909,MRT
25R5cRuJC5s_382423-384679,MRT
2FBSDfDKMFw_035664-036398,MRT
2HAPX5NMkkk_183615-184123,MRT
2W0aPKZZdTQ_007434-008697,MRT
2kUlT7vu0G4_027360-029398,MRT
2mTxcXmousk_054369-054691,MRT
2mTxcXmousk_260601-261079,MRT
2wQqIAtw9nA_198519-198901,MRT
2ymcxndtXpg_012801-013505,MRT
31N_wUpfQJg_051628-053800,MRT
37kaIGJDVuc_020421-020789,MRT
3JbSqMApEa4_178965-179693,MRT
3JbSqMApEa4_591251-597031,MRT
3JfzCPh1iXg_248889-256207,MRT
3Nr6WwGeGsc_155781-156349,MRT
