id,label
y47rGVHX36A__U__S107---0571.690-0588.910,ar
a1Q1QOWjs5Q__U__S111---0732.930-0740.570,ar
A2wQvrzP2yY__U__S45---0276.030-0288.990,ar
ShKeUMwV_sg__U__S174---1213.170-1230.660,ar
Z1HQZc5tTdM__U__S73---0546.940-0552.690,ar
JkZ2riynM6o__U__S313---2858.280-2869.280,ar
jhw6MKcRrSU__U__S70---0458.030-0470.040,ar
EHCf-UaUdos__U__S1---0146.140-0158.490,ar
SLiONFahXh4__U__S10---1173.050-1183.540,ar
ShKeUMwV_sg__U__S141---1706.540-1710.070,ar
MI2MPeCwbPg__U__S100---0992.040-1001.530,ar
kwgjXBtfCWg__U__S0---0040.100-0058.600,ar
dM_vHZQS4Zs__U__S12---0139.100-0154.440,ar
iuBQ6IVDAr0__U__S0---0708.270-0719.550,ar
NBQAjGU7cuo__U__S136---2707.850-2711.710,ar
JZWD3KQaFmg__U__S10---0056.710-0062.740,ar
9BJXCIaJeTE__U__S106---0091.820-0103.780,ar
1cX7oLB3ohE__U__S165---1030.740-1035.760,ar
iuBQ6IVDAr0__U__S161---1371.210-1378.180,ar
25P5y1SZ5bM__U__S31---0252.820-0267.210,ar
_HWYmHbrwwY__U__S110---1182.560-1187.690,ar
6q_i7HQhYBY__U__S105---0919.680-0939.360,ar
JkZ2riynM6o__U__S277---2200.010-2216.740,ar
25P5y1SZ5bM__U__S17---0151.570-0163.400,ar
AWA-raomUWQ__U__S0---0892.230-0900.670,ar
IjbtAbZQYyo__U__S1---0005.850-0019.290,ar
ShKeUMwV_sg__U__S29---0423.960-0442.970,ar
SLiONFahXh4__U__S10---1221.780-1229.040,ar
fxicnyRBcz8__U__S0---0071.630-0083.910,ar
6eQEtFEmvQE__U__S21---0137.740-0142.160,ar
mQvv-6LM4Fc__U__S215---1966.460-1971.030,ar
1uw5noguFjQ__U__S142---1158.200-1166.590,ar
nJhDV8eSico__U__S0---2690.670-2695.340,ar
VVPfJ8-rehs__U__S101---0880.930-0889.150,ar
B1-hNf5uicU__U__S13---0632.400-0640.750,ar
AtRkdQBwP8o__U__S106---0303.820-0314.280,ar
HjdzHSsvp5o__U__S153---1067.850-1081.550,ar
JYTtC1Fdgxc__U__S203---1674.360-1680.240,ar
9watEYR32HY__U__S137---1322.300-1333.050,ar
9BJXCIaJeTE__U__S49---0323.790-0327.850,ar
YwOS6IbtHug__U__S49---0302.530-0315.110,ar
9BJXCIaJeTE__U__S89---0561.610-0572.390,ar
SBMMLwXIlII__U__S10---0221.400-0232.770,ar
CN1syNcKtb0__U__S209---1302.230-1316.690,ar
_HWYmHbrwwY__U__S31---0300.690-0319.510,ar
MncdQbnoA7k__U__S59---0442.760-0451.480,ar
1uw5noguFjQ__U__S142---1318.700-1326.940,ar
nnURqW8_HdQ__U__S10---0821.720-0838.810,ar
aIipDS4OQ2c__U__S1---0032.350-0041.550,ar
ShKeUMwV_sg__U__S184---1313.380-1324.210,ar
JYTtC1Fdgxc__U__S117---0823.130-0828.270,ar
js-BgJS9Z2s__U__S15---3013.300-3018.570,ar
OgIN5x5x4Ow__U__S67---0492.440-0504.110,ar
79LJxyanr8s__U__S106---0643.960-0648.080,ar
-TwbJBWTDro__U__S101---1656.230-1661.300,ar
CN1syNcKtb0__U__S293---1868.910-1875.570,ar
On5ioLQAGu4__U__S0---0457.230-0462.430,ar
Qj4dXsM564w__U__S23---0205.670-0225.670,ar
VVPfJ8-rehs__U__S118---0753.860-0762.250,ar
IMeBs8iU8pE__U__S100---0624.640-0634.360,ar
jhw6MKcRrSU__U__S33---0181.730-0191.410,ar
GyypH9HLpEs__U__S392---2450.490-2457.110,ar
nJhDV8eSico__U__S0---3206.320-3222.020,ar
1XumG9I3RX0__U__S53---0407.490-0421.710,ar
jz7p0ZQ0wSs__U__S2---0037.960-0045.180,ar
KzrSKNoOcIU__U__S70---0505.760-0519.010,ar
fxicnyRBcz8__U__S100---1273.320-1291.330,ar
iztrZFlL-uY__U__S17---0495.430-0505.540,ar
-TwbJBWTDro__U__S101---0514.360-0527.070,ar
RA4zojpz4ZI__U__S0---0195.070-0206.520,ar
JYTtC1Fdgxc__U__S240---1607.700-1627.370,ar
