id,label
0FmhN4drS4Q_010561-010863,{rd}
0FmhN4drS4Q_064166-064630,{rd}
0FmhN4drS4Q_089039-089753,{rd}
0FmhN4drS4Q_090025-090561,{rd}
0FmhN4drS4Q_091107-092587,{rd}
0FmhN4drS4Q_092703-093545,{rd}
0FmhN4drS4Q_093693-095289,{rd}
0FmhN4drS4Q_128892-129211,{rd}
1b0Cd3Djfgs_002325-003872,{rd}
1b0Cd3Djfgs_006891-007284,{rd}
1b0Cd3Djfgs_009447-010061,{rd}
1b0Cd3Djfgs_010155-011077,{rd}
1b0Cd3Djfgs_011115-011617,{rd}
1b0Cd3Djfgs_011664-013660,{rd}
2mWfop_JiMY_007092-008498,{rd}
2mWfop_JiMY_008780-010614,{rd}
2mWfop_JiMY_010695-012105,{rd}
2mWfop_JiMY_023073-028913,{rd}
2mWfop_JiMY_030364-032848,{rd}
2mWfop_JiMY_032928-033538,{rd}
2mWfop_JiMY_033600-034078,{rd}
2mWfop_JiMY_034116-035294,{rd}
2mWfop_JiMY_035367-035955,{rd}
4ewFIFh7LgM_000777-003329,{rd}
4ewFIFh7LgM_003329-003999,{rd}
-emr__Phb5Y_035169-035501,{rd}
0VwgnbpFJf8_023418-027808,{rd}
0VwgnbpFJf8_027808-028382,{rd}
0sdtrO3cqPk_005404-005732,{rd}
0sdtrO3cqPk_008190-009604,{rd}
0sdtrO3cqPk_013359-014975,{rd}
0sdtrO3cqPk_015644-016416,{rd}
0sdtrO3cqPk_016533-017537,{rd}
0sdtrO3cqPk_022722-023544,{rd}
0sdtrO3cqPk_025791-026452,{rd}
0sdtrO3cqPk_026783-027227,{rd}
0sdtrO3cqPk_027930-028294,{rd}
0sdtrO3cqPk_029661-030052,{rd}
0sdtrO3cqPk_030144-030760,{rd}
0sdtrO3cqPk_031202-031608,{rd}
1QOl3ikEDOQ_001503-001969,{rd}
2bl-uyT2zko_002673-003361,{rd}
2bl-uyT2zko_007143-009587,{rd}
2bl-uyT2zko_010974-011598,{rd}
2bl-uyT2zko_014243-014599,{rd}
2bl-uyT2zko_015372-016072,{rd}
2bl-uyT2zko_022162-022976,{rd}
2bl-uyT2zko_030417-031114,{rd}
2bl-uyT2zko_039387-039847,{rd}
2bl-uyT2zko_052347-052949,{rd}
1KidT1HxOyI_001677-002032,{rd}
1KidT1HxOyI_002032-003686,{rd}
1dPz4C07nUA_015609-015972,{rd}
3K6iXOEIIeM_000027-000476,{rd}
3K6iXOEIIeM_000555-002279,{rd}
3K6iXOEIIeM_002364-002674,{rd}
3K6iXOEIIeM_002715-015355,{rd}
3K6iXOEIIeM_017094-020988,{rd}
3K6iXOEIIeM_021072-022708,{rd}
3K6iXOEIIeM_029961-031125,{rd}
3K6iXOEIIeM_031383-033867,{rd}
3K6iXOEIIeM_037252-037854,{rd}
3K6iXOEIIeM_038115-038421,{rd}
3K6iXOEIIeM_038544-039058,{rd}
3K6iXOEIIeM_039189-039833,{rd}
3K6iXOEIIeM_039918-041064,{rd}
3K6iXOEIIeM_041364-042576,{rd}
3K6iXOEIIeM_042657-043605,{rd}
3K6iXOEIIeM_043710-044382,{rd}
3K6iXOEIIeM_044484-044994,{rd}
3K6iXOEIIeM_045345-051401,{rd}
3K6iXOEIIeM_052080-053997,{rd}
3K6iXOEIIeM_054102-057370,{rd}
3K6iXOEIIeM_057462-058741,{rd}
3K6iXOEIIeM_064863-070965,{rd}
3ZH4UlaEQ2I_023026-023454,{rd}
3ZH4UlaEQ2I_041448-041852,{rd}
3ZH4UlaEQ2I_066117-066427,{rd}
3ZH4UlaEQ2I_068700-069052,{rd}
3ZH4UlaEQ2I_074931-075383,{rd}
C0_6QFtMcz0_018637-019121,{rd}
C0_6QFtMcz0_046275-046593,{rd}
C0_6QFtMcz0_047016-047848,{rd}
C0_6QFtMcz0_060441-060853,{rd}
