id,label
0FmhN4drS4Q_010561-010863,NOR
0FmhN4drS4Q_064166-064630,NOR
0FmhN4drS4Q_089039-089753,NOR
0FmhN4drS4Q_090025-090561,NOR
0FmhN4drS4Q_091107-092587,NOR
0FmhN4drS4Q_092703-093545,NOR
0FmhN4drS4Q_093693-095289,NOR
0FmhN4drS4Q_128892-129211,NOR
1b0Cd3Djfgs_002325-003872,NOR
1b0Cd3Djfgs_006891-007284,NOR
1b0Cd3Djfgs_009447-010061,NOR
1b0Cd3Djfgs_010155-011077,NOR
1b0Cd3Djfgs_011115-011617,NOR
1b0Cd3Djfgs_011664-013660,NOR
2mWfop_JiMY_007092-008498,NOR
2mWfop_JiMY_008780-010614,NOR
2mWfop_JiMY_010695-012105,NOR
2mWfop_JiMY_023073-028913,NOR
2mWfop_JiMY_030364-032848,NOR
2mWfop_JiMY_032928-033538,NOR
2mWfop_JiMY_033600-034078,NOR
2mWfop_JiMY_034116-035294,NOR
2mWfop_JiMY_035367-035955,NOR
4ewFIFh7LgM_000777-003329,NOR
4ewFIFh7LgM_003329-003999,NOR
-emr__Phb5Y_035169-035501,NOR
0VwgnbpFJf8_023418-027808,NOR
0VwgnbpFJf8_027808-028382,NOR
0sdtrO3cqPk_005404-005732,NOR
0sdtrO3cqPk_008190-009604,NOR
0sdtrO3cqPk_013359-014975,NOR
0sdtrO3cqPk_015644-016416,NOR
0sdtrO3cqPk_016533-017537,NOR
0sdtrO3cqPk_022722-023544,NOR
0sdtrO3cqPk_025791-026452,NOR
0sdtrO3cqPk_026783-027227,NOR
0sdtrO3cqPk_027930-028294,NOR
0sdtrO3cqPk_029661-030052,NOR
0sdtrO3cqPk_030144-030760,NOR
0sdtrO3cqPk_031202-031608,NOR
1QOl3ikEDOQ_001503-001969,NOR
2bl-uyT2zko_002673-003361,NOR
2bl-uyT2zko_007143-009587,NOR
2bl-uyT2zko_010974-011598,NOR
2bl-uyT2zko_014243-014599,NOR
2bl-uyT2zko_015372-016072,NOR
2bl-uyT2zko_022162-022976,NOR
2bl-uyT2zko_030417-031114,NOR
2bl-uyT2zko_039387-039847,NOR
2bl-uyT2zko_052347-052949,NOR
1KidT1HxOyI_001677-002032,NOR
1KidT1HxOyI_002032-003686,NOR
1dPz4C07nUA_015609-015972,NOR
3K6iXOEIIeM_000027-000476,NOR
3K6iXOEIIeM_000555-002279,NOR
3K6iXOEIIeM_002364-002674,NOR
3K6iXOEIIeM_002715-015355,NOR
3K6iXOEIIeM_017094-020988,NOR
3K6iXOEIIeM_021072-022708,NOR
3K6iXOEIIeM_029961-031125,NOR
3K6iXOEIIeM_031383-033867,NOR
3K6iXOEIIeM_037252-037854,NOR
3K6iXOEIIeM_038115-038421,NOR
3K6iXOEIIeM_038544-039058,NOR
3K6iXOEIIeM_039189-039833,NOR
3K6iXOEIIeM_039918-041064,NOR
3K6iXOEIIeM_041364-042576,NOR
3K6iXOEIIeM_042657-043605,NOR
3K6iXOEIIeM_043710-044382,NOR
3K6iXOEIIeM_044484-044994,NOR
3K6iXOEIIeM_045345-051401,NOR
3K6iXOEIIeM_052080-053997,NOR
3K6iXOEIIeM_054102-057370,NOR
3K6iXOEIIeM_057462-058741,NOR
3K6iXOEIIeM_064863-070965,NOR
3ZH4UlaEQ2I_023026-023454,NOR
3ZH4UlaEQ2I_041448-041852,NOR
3ZH4UlaEQ2I_066117-066427,NOR
3ZH4UlaEQ2I_068700-069052,NOR
3ZH4UlaEQ2I_074931-075383,NOR
C0_6QFtMcz0_018637-019121,NOR
C0_6QFtMcz0_046275-046593,NOR
C0_6QFtMcz0_047016-047848,NOR
C0_6QFtMcz0_060441-060853,NOR
E-_T0uoPw64_002139-003367,NOR
E-_T0uoPw64_003367-005007,NOR
E-_T0uoPw64_008963-009435,NOR
E-_T0uoPw64_012099-012631,NOR
E-_T0uoPw64_016628-017082,NOR
E-_T0uoPw64_017401-017885,NOR
E-_T0uoPw64_017885-018501,NOR
E-_T0uoPw64_029395-029717,NOR
E-_T0uoPw64_034751-035271,NOR
E-_T0uoPw64_041588-042026,NOR
E-_T0uoPw64_053295-054899,NOR
E-_T0uoPw64_055535-057077,NOR
E-_T0uoPw64_058914-059260,NOR
E-_T0uoPw64_067723-068193,NOR
E-_T0uoPw64_068193-068643,NOR
E-_T0uoPw64_071082-071572,NOR
07hZVI-SZ5o_000030-001430,EGY
07hZVI-SZ5o_010764-015084,EGY
0TIN7uvX-1I_023475-025602,EGY
0TIN7uvX-1I_028476-030248,EGY
0TIN7uvX-1I_040143-040541,EGY
0TIN7uvX-1I_043617-044729,EGY
0TIN7uvX-1I_048171-048517,EGY
0TIN7uvX-1I_048567-049423,EGY
0TIN7uvX-1I_057591-058027,EGY
0TIN7uvX-1I_058854-059174,EGY
0TIN7uvX-1I_080237-080625,EGY
0TIN7uvX-1I_082980-083392,EGY
0TIN7uvX-1I_094790-095288,EGY
0TIN7uvX-1I_098448-099268,EGY
0TIN7uvX-1I_101748-102722,EGY
0TIN7uvX-1I_102722-104324,EGY
0TIN7uvX-1I_114345-114805,EGY
0TIN7uvX-1I_119684-120027,EGY
0TIN7uvX-1I_165069-165455,EGY
0TIN7uvX-1I_168168-168680,EGY
0TIN7uvX-1I_169407-169751,EGY
0TIN7uvX-1I_175674-176066,EGY
0TIN7uvX-1I_179568-181198,EGY
0TIN7uvX-1I_184026-184612,EGY
0TIN7uvX-1I_187173-187919,EGY
0TIN7uvX-1I_194922-196544,EGY
0TIN7uvX-1I_203610-204036,EGY
0TIN7uvX-1I_210384-210736,EGY
0TIN7uvX-1I_218325-218753,EGY
0TIN7uvX-1I_219398-220655,EGY
0eGZ6EZ5z_w_013208-014786,EGY
0eGZ6EZ5z_w_021668-022226,EGY
0eGZ6EZ5z_w_024608-025152,EGY
0eGZ6EZ5z_w_025644-027077,EGY
0eGZ6EZ5z_w_032532-033668,EGY
0eGZ6EZ5z_w_034778-036538,EGY
0eGZ6EZ5z_w_054900-055382,EGY
1BAxci8rtPw_001977-002341,EGY
1BAxci8rtPw_005199-006969,EGY
1nGtkSBfM4A_000150-001114,EGY
1nGtkSBfM4A_014487-015311,EGY
1nGtkSBfM4A_018570-019004,EGY
1nGtkSBfM4A_019311-019733,EGY
1nGtkSBfM4A_019875-020303,EGY
1nGtkSBfM4A_031998-032558,EGY
1nGtkSBfM4A_036933-037487,EGY
1nGtkSBfM4A_038112-039018,EGY
1nGtkSBfM4A_039519-040217,EGY
1nGtkSBfM4A_042729-043255,EGY
1nGtkSBfM4A_049284-049858,EGY
0N9-oK2QoT8_011871-012443,EGY
0R5hS2kkbyE_033054-033382,EGY
0R5hS2kkbyE_052965-053291,EGY
1Q4pTzHmJwE_191994-192530,EGY
1Q4pTzHmJwE_196242-196680,EGY
1Q4pTzHmJwE_196680-197176,EGY
1yhoOgWB4Jk_033915-034543,EGY
1yhoOgWB4Jk_035853-036193,EGY
1yhoOgWB4Jk_059961-060377,EGY
3SYyyOx18AA_009828-010136,EGY
3SYyyOx18AA_010800-011222,EGY
3SYyyOx18AA_020142-020804,EGY
564D3QYvOEw_067134-067442,EGY
564D3QYvOEw_125238-125790,EGY
5OYDJwmu8AM_002733-003041,EGY
5OYDJwmu8AM_003123-003497,EGY
5OYDJwmu8AM_003876-004184,EGY
5OYDJwmu8AM_004221-004669,EGY
5OYDJwmu8AM_004728-005210,EGY
5OYDJwmu8AM_007908-009152,EGY
5OYDJwmu8AM_009189-010865,EGY
5OYDJwmu8AM_012195-012979,EGY
5OYDJwmu8AM_013026-013876,EGY
5OYDJwmu8AM_016707-017129,EGY
5OYDJwmu8AM_017400-017902,EGY
5OYDJwmu8AM_017952-018428,EGY
5OYDJwmu8AM_018480-018854,EGY
5OYDJwmu8AM_021027-021335,EGY
5OYDJwmu8AM_023982-024384,EGY
5OYDJwmu8AM_024465-025199,EGY
5OYDJwmu8AM_025626-025936,EGY
5OYDJwmu8AM_027348-028189,EGY
5OYDJwmu8AM_028889-029676,EGY
5OYDJwmu8AM_030195-030601,EGY
5OYDJwmu8AM_032337-032708,EGY
5OYDJwmu8AM_032991-033487,EGY
5OYDJwmu8AM_034149-035229,EGY
5OYDJwmu8AM_035763-036137,EGY
5OYDJwmu8AM_036261-037349,EGY
5OYDJwmu8AM_037389-037867,EGY
5OYDJwmu8AM_038571-038983,EGY
5OYDJwmu8AM_039030-039374,EGY
5OYDJwmu8AM_039444-039904,EGY
5OYDJwmu8AM_039945-040335,EGY
5OYDJwmu8AM_050616-050932,EGY
5OYDJwmu8AM_050970-051646,EGY
5OYDJwmu8AM_051692-052380,EGY
5OYDJwmu8AM_053760-054196,EGY
5OYDJwmu8AM_054246-054996,EGY
5OYDJwmu8AM_055262-066180,EGY
3xTaOrtzV1g_009559-011013,GLF
3xTaOrtzV1g_012663-013316,GLF
3xTaOrtzV1g_013393-013697,GLF
3xTaOrtzV1g_013749-015161,GLF
3xTaOrtzV1g_018377-018733,GLF
3xTaOrtzV1g_018779-019643,GLF
3xTaOrtzV1g_022763-023241,GLF
3xTaOrtzV1g_023459-025517,GLF
3xTaOrtzV1g_027317-028145,GLF
3xTaOrtzV1g_031219-032093,GLF
3xTaOrtzV1g_036081-036727,GLF
3xTaOrtzV1g_045895-046921,GLF
3xTaOrtzV1g_046989-047899,GLF
3xTaOrtzV1g_050289-051379,GLF
1pQVwxDp9PE_009163-010589,GLF
1pQVwxDp9PE_010589-012311,GLF
1pQVwxDp9PE_047820-050158,GLF
1pQVwxDp9PE_078567-094069,GLF
1pQVwxDp9PE_129801-131133,GLF
1pQVwxDp9PE_131259-132377,GLF
1pQVwxDp9PE_148122-149288,GLF
1pQVwxDp9PE_155190-155842,GLF
1pQVwxDp9PE_156327-156899,GLF
1pQVwxDp9PE_157275-158003,GLF
1pQVwxDp9PE_158040-159604,GLF
1pQVwxDp9PE_160263-161303,GLF
1pQVwxDp9PE_175893-176225,GLF
1pQVwxDp9PE_197268-197630,GLF
0JqgVPYNKVg_024812-025124,GLF
0JqgVPYNKVg_027673-028631,GLF
0JqgVPYNKVg_043750-045208,GLF
0JqgVPYNKVg_066606-067174,GLF
0JqgVPYNKVg_074251-074643,GLF
0JqgVPYNKVg_085929-086317,GLF
0JqgVPYNKVg_088697-089891,GLF
0JqgVPYNKVg_091979-092621,GLF
0JqgVPYNKVg_107416-108406,GLF
0JqgVPYNKVg_111101-111925,GLF
0JqgVPYNKVg_119758-120265,GLF
0JqgVPYNKVg_132388-136894,GLF
0JqgVPYNKVg_137711-138253,GLF
0JqgVPYNKVg_150701-151085,GLF
04umWaCADuU_003978-005200,GLF
04umWaCADuU_017424-020574,GLF
04umWaCADuU_036228-038292,GLF
04umWaCADuU_041490-041910,GLF
04umWaCADuU_067992-069124,GLF
04umWaCADuU_074961-075319,GLF
04umWaCADuU_079815-080921,GLF
04umWaCADuU_082335-084293,GLF
04umWaCADuU_085588-086554,GLF
04umWaCADuU_088278-094972,GLF
04umWaCADuU_096819-100213,GLF
04umWaCADuU_100734-102238,GLF
