id,label
--Cl3Rkbyk8_000027-002189,NOR
-QUST1WbS10_186366-189414,NOR
-dZ9qHcjFWQ_053680-054865,NOR
-zJBfV5_xnI_511596-512628,NOR
0CQVTRTNgkk_054840-056414,NOR
0CQVTRTNgkk_258208-259473,NOR
0GolaUQqYLM_280802-282278,NOR
0S9LgLDEunQ_004554-006568,NOR
0ZRzPqFkGjU_004976-006060,NOR
0enkff-xygY_136146-137438,NOR
0xnwO1eYHvo_053771-057361,NOR
1BPuGxXwssk_347211-351609,NOR
1TwcVCdjqFw_121782-122876,NOR
1o8JzvPP3aM_027025-031529,NOR
25R5cRuJC5s_382423-384679,NOR
2W0aPKZZdTQ_007434-008697,NOR
2kUlT7vu0G4_027360-029398,NOR
31N_wUpfQJg_051628-053800,NOR
3JbSqMApEa4_591251-597031,NOR
3JfzCPh1iXg_248889-256207,NOR
3UZNt_OJuvY_228135-229375,NOR
3vWDaWYdW6U_224805-226915,NOR
3xPKosVx_Ac_265977-267859,NOR
3xPKosVx_Ac_524238-525700,NOR
4OlvBJSeQxE_020754-021806,NOR
4QX_e6QyFTM_357433-358509,NOR
4YZtzB5ohOc_120461-122074,NOR
4aXiKd9SuzQ_187002-188158,NOR
4wxi0bA4aVE_234261-235529,NOR
5BCf7VznHLY_015924-016948,NOR
5TqYTEmSjF0_007605-008909,NOR
6-pub2bKbL8_310788-311992,NOR
644kf0YeRg0_038334-040096,NOR
6Ck4IwhGn6E_125724-126768,NOR
6Cuq5trMj48_015597-017079,NOR
6FfF-wf-HLU_121886-123229,NOR
6S2p2nAptCg_229611-234433,NOR
7ALc0NklAOo_099364-101146,NOR
7SjxBOoERXs_168301-169651,NOR
7uSfHGHstJQ_159687-162085,NOR
8S6cFJdKVCg_230023-231771,NOR
9jJJMmaEqmw_012348-013566,NOR
A1w6-4q9WSY_149655-150677,NOR
AD2vHNuveM4_087999-089027,NOR
AK60TL5Q-7E_262826-264848,NOR
ALg3gYtw968_001426-003565,NOR
ANdUgALtpbU_025713-028025,NOR
AtkR8bCUEco_012771-014116,NOR
BKTMsrTKjfE_172500-173500,NOR
BVrQ5QCrIDs_237690-239344,NOR
CRgBLjG05LY_203337-204913,NOR
CgdFoCDlHC4_015496-017828,NOR
Cj5LG105K9c_000027-002847,NOR
D2gpDMN9MPw_054429-055979,NOR
D65VDctSAa4_052111-058125,NOR
DEiDIUOfEMg_037455-038665,NOR
DXIByVh_gkA_035703-037193,NOR
DeGQ_hM1UuM_107028-109159,NOR
DhlYGw6U3w8_037863-039965,NOR
DlzTO3Y-2T0_046084-050694,NOR
Dsgc2qGkypg_119346-121794,NOR
E0sO7tXtW_8_016539-018029,NOR
FM2MzGw1t18_204105-206425,NOR
FM2MzGw1t18_640272-647328,NOR
FZuWZU9n1CQ_017091-018587,NOR
FnPSVyh1ZFw_242312-243526,NOR
GFdDGbckhnQ_134560-135642,NOR
GnxQ3-8XT5o_119452-123388,NOR
H4C0EZxH0zM_041793-043451,NOR
HN-eF8QEnyA_457287-458810,NOR
HU4n-pq6de4_111393-113008,NOR
HZBabNAgz4o_080410-085900,NOR
HaZyOCf2fec_086503-089903,NOR
Hgot7bRQS8k_031769-033851,NOR
HtWu931A4-M_006858-009300,NOR
Hy4g4yADNJs_004308-007140,NOR
I4RXUacr5iY_194560-195700,NOR
I9mQxrh-7Xo_257319-259181,NOR
IEt5Gx9mKO8_069744-074810,NOR
IT6tozBVJLU_060309-062723,NOR
Iwzr2TIbeCo_008211-010801,NOR
JO8B0JuuizI_025151-026364,NOR
JxUQFgXboVk_060321-065183,NOR
K3xGdnoAG6Y_093267-096399,NOR
