id,label
--Cl3Rkbyk8_000027-002189,NOR
-3SFfi7Efp4_243528-243921,NOR
-7X7-RiJWpo_069930-070430,NOR
-Gw8rQZGvZ0_167424-167744,NOR
-MUM1to8Iso_185082-185542,NOR
-PSF6o5S9Eg_013281-013859,NOR
-QUST1WbS10_186366-189414,NOR
-dZ9qHcjFWQ_053680-054865,NOR
-zJBfV5_xnI_022479-022891,NOR
-zJBfV5_xnI_287388-287860,NOR
-zJBfV5_xnI_511596-512628,NOR
077AFQNtArA_065123-065433,NOR
077AFQNtArA_352163-352489,NOR
0CQVTRTNgkk_054840-056414,NOR
0CQVTRTNgkk_258208-259473,NOR
0CQVTRTNgkk_462909-463331,NOR
0CYsnGrO68I_224283-224655,NOR
0GolaUQqYLM_280802-282278,NOR
0Mc4gq1hbZI_205458-205776,NOR
0S9LgLDEunQ_004554-006568,NOR
0ZRzPqFkGjU_004976-006060,NOR
0ZofZZw41JY_191553-192407,NOR
0_0bWlY2-QE_159576-159902,NOR
0enkff-xygY_136146-137438,NOR
0m6H_A6pkW0_016226-016978,NOR
--s9_lAJV2c_000027-000413,NOR
--s9_lAJV2c_040575-041417,NOR
-4Zg_ErN0nM_019235-019693,NOR
-5ZTQIULZdk_005814-007014,NOR
-AFc2LlToHc_023805-024259,NOR
-OLNNR_Iqoo_042348-042822,NOR
-bu6uPJ4TUk_000948-002062,NOR
-e0s2ma7dL0_045919-047411,NOR
-mDTFhKQdg8_018089-018461,NOR
-mDTFhKQdg8_047847-048527,NOR
-o9xTlIieig_023664-023992,NOR
-tMKijalWME_009579-009927,NOR
-tMKijalWME_045732-047390,NOR
-tMKijalWME_073017-073385,NOR
-tMKijalWME_098857-099563,NOR
-tMKijalWME_129957-131221,NOR
01qHAvVsLWs_022621-023373,NOR
01qHAvVsLWs_051417-052548,NOR
0FMJpVF5vs4_009546-009938,NOR
0FMJpVF5vs4_036561-037083,NOR
0FMJpVF5vs4_076797-077777,NOR
0J3_s6Hq3P8_039128-042494,NOR
0JBA5mqyC0E_004752-005096,NOR
0JBA5mqyC0E_033311-033803,NOR
0JBA5mqyC0E_069794-070286,NOR
-1_H-6GHgjo_012238-012734,NOR
-2om9aW2xi4_084377-098011,NOR
-HzxrsmSJmk_086364-088656,NOR
-HzxrsmSJmk_173511-174139,NOR
-HzxrsmSJmk_284810-287702,NOR
-HzxrsmSJmk_396626-397786,NOR
-HzxrsmSJmk_496756-497220,NOR
-HzxrsmSJmk_620344-621722,NOR
-HzxrsmSJmk_705642-706078,NOR
