id,label
--Cl3Rkbyk8_000027-002189,NOR
-3SFfi7Efp4_243528-243921,NOR
-7X7-RiJWpo_069930-070430,NOR
-Gw8rQZGvZ0_167424-167744,NOR
-MUM1to8Iso_185082-185542,NOR
-PSF6o5S9Eg_013281-013859,NOR
--s9_lAJV2c_000027-000413,NOR
--s9_lAJV2c_040575-041417,NOR
-4Zg_ErN0nM_019235-019693,NOR
-5ZTQIULZdk_005814-007014,NOR
-AFc2LlToHc_023805-024259,NOR
-OLNNR_Iqoo_042348-042822,NOR
-1_H-6GHgjo_012238-012734,NOR
-2om9aW2xi4_084377-098011,NOR
-HzxrsmSJmk_086364-088656,NOR
-HzxrsmSJmk_173511-174139,NOR
-HzxrsmSJmk_284810-287702,NOR
-HzxrsmSJmk_396626-397786,NOR
--YRssvbUts_000027-000603,EGY
-8iPuMki0MM_101074-103104,EGY
-BQWaE8oHh8_049500-050016,EGY
-E0oEzEL_Ic_034473-037293,EGY
-KBu5EkEpkk_031644-032389,EGY
-XP6HqPev2c_040371-040703,EGY
-Z5ONZ95Ijs_155531-158395,EGY
-iVss6zCpr4_166686-167038,EGY
-lcEXPmJAZg_210307-210873,EGY
-rPwIKxYdQw_091110-091672,EGY
-y5jVPRGcBc_001938-002680,EGY
07cX74xOPGE_016491-017095,EGY
-BiCSJhTBiA_000688-001360,EGY
-hW0J_E_z2I_008953-010001,EGY
-hW0J_E_z2I_034356-034798,EGY
-hW0J_E_z2I_057992-060316,EGY
-hW0J_E_z2I_088035-088639,EGY
-hW0J_E_z2I_111279-112523,EGY
03suHgBJCMg_003084-003592,EGY
03suHgBJCMg_029835-030185,EGY
03suHgBJCMg_047349-047695,EGY
03suHgBJCMg_070239-070793,EGY
03suHgBJCMg_092565-092891,EGY
03suHgBJCMg_112149-112710,EGY
-2ByhHYhyGk_000027-001982,GLF
-5rTkqckDPQ_095754-097846,GLF
-6_Kl4vQV3E_270948-271252,GLF
-9Z1dh619qI_000521-006139,GLF
-PY_g92iZ8U_035448-036484,GLF
-PY_g92iZ8U_091822-092664,GLF
-Eu2cG5aDwU_001238-001600,GLF
-Eu2cG5aDwU_098230-098598,GLF
-Q8-nwvjPS8_008023-009675,GLF
-2ZIkJkEHfo_000054-000882,GLF
-2ZIkJkEHfo_069819-071397,GLF
-2ZIkJkEHfo_124394-125200,GLF
--16FP1iRq8_006189-006534,GLF
--itwHlddgM_099867-100289,GLF
--itwHlddgM_219096-219538,GLF
-5O33V98VYE_008753-009381,GLF
-5O33V98VYE_049709-051063,GLF
-5O33V98VYE_105245-105771,GLF
SH_K_32fPSE_038931-040453,LEV
SH_K_32fPSE_118548-119044,LEV
SH_K_32fPSE_201720-202852,LEV
SH_K_32fPSE_270520-270912,LEV
-9zycLem9hY_001065-002741,LEV
-EI1wQl7NkA_091783-094675,LEV
HuaGVMLBNQ8_029502-030236,LEV
HuaGVMLBNQ8_112398-113192,LEV
HuaGVMLBNQ8_213160-214669,LEV
HuaGVMLBNQ8_282754-283272,LEV
--KzKKRMwy0_000459-000991,LEV
-3DJmREOyKw_000405-000873,LEV
-220IIJCoi0_013287-013657,LEV
-2yUV4UZCHc_167730-168046,LEV
-DROlABme44_048057-049071,LEV
-DROlABme44_153439-154055,LEV
-DROlABme44_267099-268539,LEV
-DROlABme44_411132-428708,LEV
-OLLMqyURfo_000033-000985,LEV
-U3N2DDHE78_005194-005740,LEV
-U3N2DDHE78_025128-025783,LEV
-U3N2DDHE78_040668-041586,LEV
-U3N2DDHE78_052059-052533,LEV
-YiXoVbEIzs_000942-002384,LEV
